"scenario","sequence","event","variable","mean","sd","min","max","median"
"I4","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I4","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I4","E_TT","Hand to face touch","Risk",0.000374402051263006,0.00147054603674463,1.31978777713075e-12,0.047352499773505,3.99889485842353e-06
"I4","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I4","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I5","E","Hand to face touch","Risk",0.00038713046691797,0.00156132935539678,8.2602216274583e-12,0.0469420923953852,4.15448777076366e-06
"I5","E","suscept touch seq 1","Risk",0,0,0,0,0
"I5","E_FD","Hand to face touch","Risk",0.000373509122099953,0.00153063540105934,2.44029874255482e-12,0.0327462371378393,3.79041588033269e-06
"I5","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I5","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I5","E_TT","Hand to face touch","Risk",0.000363771067084372,0.00146752361037439,8.55863617381775e-14,0.0511476365561659,4.08101732728205e-06
"I5","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I5","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I6","E","Hand to face touch","Risk",0.000360670186493363,0.00149827588079331,1.61860390212557e-12,0.0544727997384784,3.45645677729389e-06
"I6","E","suscept touch seq 1","Risk",0,0,0,0,0
"I6","E_FD","Hand to face touch","Risk",0.0003585896758032,0.00162501984004276,1.17445721005306e-11,0.0709444578717806,3.08382866817336e-06
"I6","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I6","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I6","E_TT","Hand to face touch","Risk",0.000335404408349511,0.00142187190687523,6.6479863692094e-12,0.0429094284697133,3.11818753786075e-06
"I6","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I6","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I7","E","Hand to face touch","Risk",0.000379161303078562,0.00159368985715354,2.12944261916193e-13,0.0444892883777413,3.48918870298665e-06
"I7","E","suscept touch seq 1","Risk",0,0,0,0,0
"I7","E_FD","Hand to face touch","Risk",0.000360458329230542,0.00162368241638378,1.67896689358538e-12,0.0441698031493534,3.35293721487861e-06
"I7","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I7","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I7","E_TT","Hand to face touch","Risk",0.000353489776351143,0.00161872520711597,3.36881548575971e-12,0.0690661356160917,3.47616607419132e-06
"I7","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I7","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I8","E","Hand to face touch","Risk",0.000237253114952998,0.00111215127357163,1.82827687846125e-13,0.0325139835194275,1.77997525850848e-06
"I8","E","suscept touch seq 1","Risk",0,0,0,0,0
"I8","E_FD","Hand to face touch","Risk",0.000240650074471928,0.00115215237672659,6.25953080020472e-13,0.04515296262386,1.5004397646029e-06
"I8","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I8","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I8","E_TT","Hand to face touch","Risk",0.000246572264665441,0.00111527146714377,1.05072557317238e-11,0.0267799774413811,1.65462941184857e-06
"I8","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I8","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"I9","E","Hand to face touch","Risk",0.0002538431742331,0.00128008252722488,3.6229974662195e-12,0.0522914925107849,1.71593029162487e-06
"I9","E","suscept touch seq 1","Risk",0,0,0,0,0
"I9","E_FD","Hand to face touch","Risk",0.000231050959247104,0.00103133264647361,4.30148546873802e-12,0.0264257059414136,1.57349715065758e-06
"I9","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"I9","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"I9","E_TT","Hand to face touch","Risk",0.0002605108551427,0.00126491976633601,6.19088062366013e-12,0.0364256364761205,1.60470012852154e-06
"I9","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"I9","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
"baseline","E","Hand to face touch","Risk",0.000465098935473869,0.00177877198543074,7.95821865309466e-12,0.0374765485913512,5.51897263315915e-06
"baseline","E","suscept touch seq 1","Risk",0,0,0,0,0
"baseline","E_FD","Hand to face touch","Risk",0.000426064363849447,0.00164607545076395,2.32040926433948e-12,0.0489917815560776,4.97535479321476e-06
"baseline","E_FD","suscept touch seq 1","Risk",0,0,0,0,0
"baseline","E_FD","suscept touch seq 2","Risk",0,0,0,0,0
"baseline","E_TT","Hand to face touch","Risk",0.00044396101499707,0.00189391108187333,2.35853740809445e-11,0.083216647103543,5.10110475037484e-06
"baseline","E_TT","suscept touch seq 1","Risk",0,0,0,0,0
"baseline","E_TT","suscept touch seq 2","Risk",0,0,0,0,0
